date,open,high,low,close
2017-01-03,115.019951043206,116.81419247014742,114.50448100048115,115.84272766113281
2017-01-04,116.52670101700686,118.61833354686635,116.26896226408678,117.65677642822266
2017-01-05,117.82531128079145,119.89711397154653,117.29001113240511,119.61955261230469
2017-01-06,119.9268467231566,122.80159555661197,118.98511213721517,122.335693359375
2017-01-09,122.47449743426321,124.33812926836121,121.96893487835571,123.812744140625
2017-01-10,123.73343455278888,124.4075154169297,123.19813437570821,123.26752471923828
2017-01-11,123.26751959303638,125.022115805442,122.980043163801,124.99237060546875
2017-01-12,124.5165512776356,125.62680427300404,123.71360483985741,125.51776123046875
2017-01-13,126.38018678330236,128.14469808752463,126.261236233633,127.22278594970703
2017-01-17,126.92539246894255,127.22278396443527,126.2909719003192,126.75688171386719
2017-01-18,127.29217455026046,127.31198955645034,125.73583438469585,126.80643463134766
2017-01-19,127.11373234540149,127.23269801114922,126.34052358485569,126.43965911865234
2017-01-20,126.9848903486112,127.36157214752723,125.67637374175148,125.93411254882812
2017-01-23,126.20175476330074,128.1248693422471,125.84488798446574,127.80764770507812
2017-01-24,128.25371230039997,128.76917465039173,127.26241760678354,128.24378967285156
2017-01-25,128.868337001996,130.59319557336823,128.6403434102612,130.33544921875
2017-01-26,130.48414721085487,131.98099700352165,130.2957987673754,131.62413024902344
2017-01-27,131.52500538016162,131.79265924923342,129.9389425517207,131.02935791015625
2017-01-30,130.43459627532897,130.43459627532897,128.4718364352734,129.83981323242188
2017-01-31,129.0368588191783,129.5225987787039,128.39252316707874,129.18556213378906
2017-02-01,131.09871069928275,132.32792144721344,129.54237091861347,132.07017517089844
2017-02-02,132.06030595669853,134.31054958376146,129.26484711700454,129.70101928710938
2017-02-03,130.0975596097968,131.69354514477098,129.6217271250867,129.83981323242188
2017-02-06,129.8398000972754,130.910400390625,129.16572683440322,130.910400390625
2017-02-07,131.08884883049154,131.84222754253167,130.51389594789757,130.69232177734375
2017-02-08,131.44572115605155,133.26970029953452,131.28711032810668,133.0317840576172
2017-02-09,133.319218688344,133.3291261891851,132.14948317300895,132.97225952148438
2017-02-10,132.93263768486915,133.7653216800901,132.51628056130053,133.0218505859375
2017-02-13,133.52740747356071,133.52740747356071,132.5361126665915,132.88307189941406
2017-02-14,132.93265343933567,133.06151149194216,131.3961433041297,132.68482971191406
2017-02-15,132.2883041103043,132.5361278404195,131.50518777856269,132.2783966064453
2017-02-16,131.9116252838458,132.70464913722722,131.86205751151937,132.67491149902344
2017-02-17,132.33789236274345,132.92275282610063,132.01076317324814,132.3676300048828
2017-02-21,132.3378831271708,132.74431770932767,131.7431000739675,132.55596923828125
2017-02-22,132.43699132966444,135.59920903584234,132.29821066270353,134.93504333496094
2017-02-23,134.70705620159785,134.93504978122027,133.1606386598825,134.18167114257812
2017-02-24,132.9921149265556,134.43939687412143,132.9921149265556,134.26097106933594
2017-02-27,134.08255115624752,135.98583566876093,133.8446500459088,135.22254943847656
2017-02-28,135.5992414771087,135.61907161312115,133.57700625673425,134.36012268066406
2017-03-01,135.28201251992422,136.28321489624622,135.11349420663987,136.22373962402344
2017-03-02,135.8966176658228,136.62027385191215,135.1234088342414,135.56948852539062
2017-03-03,135.44062903235726,136.13453244743778,134.89541380409398,135.97592163085938
2017-03-06,135.68844704805903,136.63017415215825,135.32165765941963,136.22373962402344
2017-03-07,135.83715872481147,137.165490454084,135.79751357845853,136.1048126220703
2017-03-08,135.95608807524832,136.7887872783457,135.8569676618517,136.52113342285156
2017-03-09,136.52112827646758,137.3637349513533,136.2039066632535,137.03660583496094
2017-03-10,137.70078330502554,138.2757361835011,137.01678737846046,137.58181762695312
2017-03-13,137.50249866149932,138.4640406337731,137.46283840176105,138.38475036621094
2017-03-14,138.24597365429415,138.24597365429415,137.3141541612961,138.10719299316406
2017-03-15,138.07742805297278,138.88038944219767,137.2844044170251,138.50369262695312
2017-03-16,138.9795563022177,139.02912407752672,138.5136464410432,138.77139282226562
2017-03-17,139.11831282030312,139.11831282030312,138.48388473410347,138.62266540527344
2017-03-20,138.49379294711022,138.96961018074217,138.03779071732663,138.72178649902344
2017-03-21,139.92126280869712,141.0711684713505,137.19520195596974,137.3042449951172
2017-03-22,136.7292942960257,138.57310336111672,136.4021802994412,138.37484741210938
2017-03-23,138.26581613817274,139.1678981777798,137.87921171062123,138.3153839111328
2017-03-24,138.86058543282468,139.79240501888796,138.543363818012,139.11831665039062
2017-03-27,137.83953171436661,139.4255941663199,137.56197040712587,139.09848022460938
2017-03-28,139.13814843382002,140.71430364548038,138.79118917924654,140.5259552001953
2017-03-29,140.75397521336726,141.61639697844183,140.19883733628012,141.40821838378906
