date,open,high,low,close,volume,minutes
2017-01-26,60.19,60.24,59.99,60.06,5.484480012208223,390
2017-01-27,59.98,60.05,59.86,59.97,4.816200017463416,390
2017-01-30,59.45,59.57,59.26,59.56,21.15020501660183,390
2017-01-31,59.62,59.719,59.39,59.65,29.56612004386261,390
2017-02-01,59.98,60.02,59.71,59.85,9.186550007667392,390
2017-02-02,59.89,59.98,59.73,59.9,70.98666519671679,390
2017-02-03,59.996,60.17,59.926,60.128,68.98240386205725,390
2017-02-06,59.516,59.68,59.476,59.69,157.56410520756617,390
2017-02-07,59.57,59.66,59.526,59.63,41.42396405013278,390
2017-02-08,59.588,59.8,59.52,59.76,6.921420989558101,390
2017-02-09,59.815,60.0,59.75,59.98,25.928974162612576,390
2017-02-10,59.93,60.17,59.9,60.14,5.508075961843133,390
2017-02-13,60.387,60.46,60.28,60.37,5.2450549942441285,390
2017-02-14,60.175,60.28,59.92,60.27,9.908024941105396,390
2017-02-15,60.037,60.5,60.01,60.5,7.287109988101292,390
2017-02-16,60.528,60.64,60.46,60.64,6.712785000447184,390
2017-02-17,60.315,60.51,60.27,60.48,6.384765001479536,390
2017-02-21,60.437,60.68,60.42,60.68,11.555167039390653,390
2017-02-22,60.397,60.73,60.397,60.72,8.731200013775378,390
2017-02-23,60.876,60.91,60.66,60.81,9.998365028295666,390
2017-02-24,60.137,60.42,60.137,60.39,13.015410011867061,390
2017-02-27,60.188,60.43,60.18,60.41,9.57237600442022,390
2017-02-28,60.308,60.51,60.23,60.33,7.530968017410487,390
2017-03-01,60.728,61.11,60.728,60.98,7.027365002315491,390
2017-03-02,60.697,60.77,60.56,60.6,9.179309971630573,390
2017-03-03,60.707,60.99,60.61,60.94,9.590509969275445,390
2017-03-06,60.718,60.74,60.57,60.72,8.374458029866219,390
2017-03-07,60.468,60.62,60.38,60.52,7.2466300134547055,390
2017-03-08,60.476,60.53,60.25,60.28,7.617944999597967,390
2017-03-09,60.447,60.56,60.38,60.55,10.989614997524768,390
2017-03-10,60.956,61.11,60.85,61.069,10.542794989887625,390
2017-03-13,61.2,61.36,61.198,61.359,1071.0839814292267,390
2017-03-14,60.901,60.96,60.788,60.9,1928.4747501341626,390
2017-03-15,61.03,61.77,61.02,61.77,15.112457981798798,390
2017-03-16,62.087,62.12,61.92,62.08,8.065345029812306,390
2017-03-17,62.18,62.34,62.06,62.22,5.009999914094806,390
2017-03-20,62.23,62.33,62.01,62.1,7.199999891221523,390
2017-03-21,62.57,62.61,61.78,61.81,16.18999988026917,390
2017-03-22,61.6,61.88,61.56,61.85,11.629999866709113,390
2017-03-23,61.74,62.09,61.72,61.96,11.479999905452132,390
2017-03-24,62.1,62.26,62.04,62.16,14.234010980464518,390
2017-03-27,62.05,62.368,62.01,62.306,9.299999879673123,390
2017-03-28,62.387,62.639,62.346,62.598,7.619999900460243,390
2017-03-29,62.266,62.596,62.266,62.619,6.119999906048179,390
2017-03-30,62.44,62.54,62.316,62.378,4.669999925419688,390
2017-03-31,62.109,62.348,62.047,62.277,7.729999899864197,390
2017-04-03,62.188,62.219,61.748,62.22,201.5011080391705,390
2017-04-04,61.916,62.169,61.84,62.17,217.2883274257183,390
2017-04-05,62.109,62.27,61.817,61.859,225.14814906287938,390
2017-04-06,61.845,61.97,61.749,61.879,228.48494115285575,390
2017-04-07,61.726,61.919,61.726,61.81,223.23944693803787,390
2017-04-10,61.716,61.839,61.667,61.74,214.98965831194073,390
2017-04-11,61.995,62.057,61.626,62.059,266.4287098310888,390
