date,open,high,low,close,volume,minutes
2017-01-26,121.68,122.24,121.6,121.973,121.22029313445091,390
2017-01-27,122.06,122.24,121.6,121.962,101.55267911963165,390
2017-01-30,120.93,121.57,120.65,121.6,139.2318339087069,390
2017-01-31,121.08,121.37,120.62,121.31,154.2365732640028,390
2017-02-01,127.07,130.467,127.06,129.063,169.11393892765045,390
2017-02-02,127.9,129.29,127.78,128.52,146.49287853389978,390
2017-02-03,128.308,129.149,128.163,129.056,116.51166886463761,390
2017-02-06,128.916,130.49,128.906,130.322,127.52031224966049,390
2017-02-07,130.496,132.02,130.455,131.533,134.00195196270943,390
2017-02-08,131.298,132.2,131.217,132.1,116.34951430559158,390
2017-02-09,131.645,132.421,131.12,132.41,109.5136300297454,390
2017-02-10,132.465,132.9,132.06,132.12,120.60379316285253,390
2017-02-13,133.028,133.783,132.757,133.32,120.65960603859276,390
2017-02-14,133.43,135.074,133.256,135.01,128.5341221988201,390
2017-02-15,135.549,136.221,134.631,135.509,139.77894820272923,390
2017-02-16,135.656,135.87,134.83,135.35,151.68847200274467,390
2017-02-17,135.099,135.731,135.099,135.71,123.04351790901273,390
2017-02-21,136.239,136.73,135.97,136.74,127.10217115655541,390
2017-02-22,136.447,137.091,136.107,137.09,121.42133704433218,390
2017-02-23,137.346,137.39,136.3,136.527,155.72970950603485,390
2017-02-24,135.887,136.63,135.271,136.64,137.8892668262124,390
2017-02-27,137.015,137.391,136.281,136.943,130.86812699586153,390
2017-02-28,137.088,137.42,136.7,137.042,124.79276014864445,390
2017-03-01,137.878,140.14,137.582,139.84,147.9765522517264,390
2017-03-02,139.968,140.2,138.76,138.972,147.9644537884742,390
2017-03-03,138.665,139.76,138.58,139.767,151.2369971126318,390
2017-03-06,139.335,139.614,138.6,139.4,124.8657384365797,390
2017-03-07,139.029,139.96,138.78,139.49,137.45836013555527,390
2017-03-08,138.897,139.764,138.822,139.05,145.49764594435692,390
2017-03-09,138.725,138.71,137.047,138.67,153.9491619244218,390
2017-03-10,139.245,139.34,138.636,139.14,145.7033338174224,390
2017-03-13,138.922,139.379,138.798,139.27,132.1241778191179,390
