date,usd_per_gbp
2023-01-09,1.2147919317
2023-01-10,1.2139703385
2023-01-11,1.2119810991
2023-01-12,1.2145675950
2023-01-13,1.2177927928
2023-01-16,1.2181437166
2023-01-17,1.2238839664
2023-01-18,1.2383182909
2023-01-19,1.2339129244
2023-01-20,1.2358447489
2023-01-23,1.2357621917
2023-01-24,1.2287253304
2023-01-25,1.2326624966
2023-01-26,1.2388424584
2023-01-27,1.2362746771
2023-01-30,1.2392870945
2023-01-31,1.2300023844
2023-02-01,1.2321717395
2023-02-02,1.2306107135
2023-02-03,1.2254341737
2023-02-06,1.2070162862
2023-02-07,1.1976986277
2023-02-08,1.2088963964
2023-02-09,1.2168559001
2023-02-10,1.2099877756
2023-02-13,1.2104529854
2023-02-14,1.2208794326
2023-02-15,1.2046158176
2023-02-16,1.2038297537
2023-02-17,1.1953244532
2023-02-20,1.2028668665
2023-02-21,1.2128518624
2023-02-22,1.2103018932
2023-02-23,1.2044474699
2023-02-24,1.1978015752
2023-02-27,1.1983241175
2023-02-28,1.2108185768
2023-03-01,1.2062230451
2023-03-02,1.1944585234
2023-03-03,1.1990285779
2023-03-06,1.2011734176
2023-03-07,1.1987456164
2023-03-08,1.1838471383
2023-03-09,1.1883261648
2023-03-10,1.1994380113
2023-03-13,1.2114971144
2023-03-14,1.2193653894
2023-03-15,1.2091514505
2023-03-16,1.2064450011
2023-03-17,1.2142236650
2023-03-20,1.2239607127
2023-03-21,1.2240864221
2023-03-22,1.2266135911
2023-03-23,1.2289461496
2023-03-24,1.2218558108
2023-03-27,1.2267416703
2023-03-28,1.2328003821
2023-03-29,1.2327817430
2023-03-30,1.2347443401
2023-03-31,1.2369199272
2023-04-03,1.2381820253
2023-04-04,1.2482108710
2023-04-05,1.2476478303
2023-04-06,1.2474998571
2023-04-11,1.2429050127
2023-04-12,1.2406006497
2023-04-13,1.2508801018
2023-04-14,1.2502261420
2023-04-17,1.2425740894
2023-04-18,1.2447953893
2023-04-19,1.2408634857
2023-04-20,1.2414778850
2023-04-21,1.2394716044
2023-04-24,1.2436838000
2023-04-25,1.2433865418
2023-04-26,1.2464995483
2023-04-27,1.2486995069
2023-04-28,1.2471323112
2023-05-02,1.2478945691
2023-05-03,1.2511187900
2023-05-04,1.2581946259
2023-05-05,1.2605003548
2023-05-08,1.2653047187
2023-05-09,1.2597999770
2023-05-10,1.2613318282
2023-05-11,1.2592891296
2023-05-12,1.2516662836
2023-05-15,1.2509345203
2023-05-16,1.2515815869
2023-05-17,1.2462166983
2023-05-18,1.2444470020
2023-05-19,1.2445877476
2023-05-22,1.2461138107
2023-05-23,1.2390652121
2023-05-24,1.2397549228
2023-05-25,1.2368508981
2023-05-26,1.2384089940
2023-05-29,1.2343759000
2023-05-30,1.2440224628
2023-05-31,1.2363867832
2023-06-01,1.2464024795
2023-06-02,1.2525311300
2023-06-05,1.2383721604
2023-06-06,1.2407233197
2023-06-07,1.2465976503
2023-06-08,1.2468500691
2023-06-09,1.2564834781
2023-06-12,1.2564485632
2023-06-13,1.2571927781
2023-06-14,1.2648762507
2023-06-15,1.2645666530
2023-06-16,1.2836540713
2023-06-19,1.2809025660
2023-06-20,1.2756548626
2023-06-21,1.2726616023
2023-06-22,1.2756198107
2023-06-23,1.2732951953
2023-06-26,1.2713384103
2023-06-27,1.2735201768
2023-06-28,1.2656792409
2023-06-29,1.2659722222
2023-06-30,1.2660204129
2023-07-03,1.2676203768
2023-07-04,1.2716958668
2023-07-05,1.2696504639
2023-07-06,1.2775758997
2023-07-07,1.2764660367
2023-07-10,1.2779209873
2023-07-11,1.2911526260
2023-07-12,1.2909648856
2023-07-13,1.3070260540
2023-07-14,1.3110176422
2023-07-17,1.3077451585
2023-07-18,1.3111908479
2023-07-19,1.2911019582
2023-07-20,1.2881960423
