"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"13";"CAT_IBKR_V2_D1";"Buy";"2022.07.08 00:00:00";"180.006";"1.0";"2022.07.29 00:00:00";"194.099";"14,09";"9999,72";"IST";"PT";"-12,93";"14,09";"21d 0h 0m";""
"14";"CAT_IBKR_V2_D1";"Buy";"2022.08.08 00:00:00";"186.746";"1.0";"2022.08.26 00:00:00";"199.409";"12,66";"10012,38";"IST";"PT";"-2,74";"12,66";"18d 0h 0m";""
"15";"CAT_IBKR_V2_D1";"Buy";"2022.09.02 00:00:00";"184.687";"1.0";"2022.09.22 00:00:00";"171.297";"-13,39";"9998,99";"IST";"SL";"-13,39";"7,88";"20d 0h 0m";""
"16";"CAT_IBKR_V2_D1";"Buy";"2022.09.28 00:00:00";"164.236";"1.0";"2022.10.04 00:00:00";"175.456";"11,22";"10010,21";"IST";"PT";"-0,94";"11,22";"6d 0h 0m";""
"17";"CAT_IBKR_V2_D1";"Buy";"2022.10.12 00:00:00";"178.997";"1.0";"2022.10.24 00:00:00";"190.319";"11,32";"10021,54";"IST";"PT";"-6,48";"11,32";"12d 0h 0m";""
"18";"CAT_IBKR_V2_D1";"Buy";"2022.10.25 00:00:00";"190.136";"1.0";"2022.10.27 00:00:00";"209.497";"19,36";"10040,90";"IST";"PT";"-1,77";"19,36";"2d 0h 0m";""
"19";"CAT_IBKR_V2_D1";"Buy";"2022.11.08 00:00:00";"228.297";"1.0";"2022.12.21 00:00:00";"241.493";"13,20";"10054,09";"IST";"PT";"-3,30";"13,20";"43d 0h 0m";""
"20";"CAT_IBKR_V2_D1";"Buy";"2022.12.28 00:00:00";"243.136";"1.0";"2023.01.12 00:00:00";"255.008";"11,87";"10065,96";"IST";"PT";"-7,14";"11,87";"15d 0h 0m";""
"21";"CAT_IBKR_V2_D1";"Buy";"2023.01.24 00:00:00";"250.806";"1.0";"2023.01.26 00:00:00";"262.187";"11,38";"10077,34";"IST";"PT";"-1,44";"11,38";"2d 0h 0m";""
"22";"CAT_IBKR_V2_D1";"Buy";"2023.02.03 00:00:00";"243.507";"1.0";"2023.03.10 00:00:00";"228.817";"-14,69";"10062,66";"IST";"SL";"-14,69";"11,86";"35d 0h 0m";""
"23";"CAT_IBKR_V2_D1";"Buy";"2023.03.16 00:00:00";"215.596";"1.0";"2023.04.03 00:00:00";"229.557";"13,96";"10076,62";"IST";"PT";"-4,28";"13,96";"18d 0h 0m";""
"24";"CAT_IBKR_V2_D1";"Buy";"2023.04.12 00:00:00";"222.116";"1.0";"2023.04.27 00:00:00";"206.443";"-15,67";"10060,94";"IST";"SL";"-15,67";"5,01";"15d 0h 0m";""
"25";"CAT_IBKR_V2_D1";"Buy";"2023.05.02 00:00:00";"216.297";"1.0";"2023.06.07 00:00:00";"228.597";"12,30";"10073,24";"IST";"PT";"-10,78";"12,30";"36d 0h 0m";""
"26";"CAT_IBKR_V2_D1";"Buy";"2023.06.23 00:00:00";"234.196";"1.0";"2023.06.29 00:00:00";"246.296";"12,10";"10085,34";"IST";"PT";"-3,26";"12,10";"6d 0h 0m";""
"27";"CAT_IBKR_V2_D1";"Buy";"2023.07.11 00:00:00";"249.457";"1.0";"2023.07.18 00:00:00";"261.111";"11,65";"10097,00";"IST";"PT";"-0,00";"11,65";"7d 0h 0m";""
"28";"CAT_IBKR_V2_D1";"Buy";"2023.07.26 00:00:00";"259.996";"1.0";"2023.08.01 00:00:00";"271.997";"12,00";"10109,00";"IST";"PT";"-3,31";"12,00";"6d 0h 0m";""
"29";"CAT_IBKR_V2_D1";"Buy";"2023.08.09 00:00:00";"284.116";"1.0";"2023.08.21 00:00:00";"268.843";"-15,27";"10093,72";"IST";"SL";"-15,27";"3,11";"12d 0h 0m";""
"30";"CAT_IBKR_V2_D1";"Buy";"2023.08.24 00:00:00";"271.116";"1.0";"2023.08.30 00:00:00";"283.358";"12,24";"10105,97";"IST";"PT";"-2,32";"12,24";"6d 0h 0m";""
"31";"CAT_IBKR_V2_D1";"Buy";"2023.09.12 00:00:00";"280.147";"1.0";"2023.10.04 00:00:00";"266.206";"-13,94";"10092,03";"IST";"SL";"-13,94";"6,27";"22d 0h 0m";""
"32";"CAT_IBKR_V2_D1";"Buy";"2023.10.10 00:00:00";"272.236";"1.0";"2023.10.19 00:00:00";"257.467";"-14,77";"10077,26";"IST";"SL";"-14,77";"3,03";"9d 0h 0m";""
"33";"CAT_IBKR_V2_D1";"Buy";"2023.10.26 00:00:00";"245.067";"1.0";"2023.10.31 00:00:00";"226.756";"-18,31";"10058,95";"IST";"SL";"-18,31";"1,25";"5d 0h 0m";""
"34";"CAT_IBKR_V2_D1";"Buy";"2023.11.01 00:00:00";"225.407";"1.0";"2023.11.02 00:00:00";"238.988";"13,58";"10072,53";"IST";"PT";"-1,51";"13,58";"1d 0h 0m";""
"35";"CAT_IBKR_V2_D1";"Buy";"2023.11.03 00:00:00";"241.497";"1.0";"2023.12.01 00:00:00";"255.307";"13,81";"10086,34";"IST";"PT";"-8,33";"13,81";"28d 0h 0m";""
"36";"CAT_IBKR_V2_D1";"Buy";"2023.12.27 00:00:00";"295.307";"1.0";"2024.01.17 00:00:00";"278.156";"-17,15";"10069,19";"IST";"SL";"-17,15";"3,64";"21d 0h 0m";""
"37";"CAT_IBKR_V2_D1";"Buy";"2024.01.17 00:00:00";"278.156";"1.0";"2024.01.22 00:00:00";"289.862";"11,71";"10080,89";"IST";"PT";"-1,66";"11,71";"5d 0h 0m";""
"38";"CAT_IBKR_V2_D1";"Buy";"2024.02.01 00:00:00";"303.497";"1.0";"2024.02.02 00:00:00";"315.678";"12,18";"10093,07";"IST";"PT";"-1,67";"12,18";"1d 0h 0m";""
"39";"CAT_IBKR_V2_D1";"Buy";"2024.02.14 00:00:00";"315.177";"1.0";"2024.02.28 00:00:00";"328.934";"13,76";"10106,83";"IST";"PT";"-2,89";"13,76";"14d 0h 0m";""
"40";"CAT_IBKR_V2_D1";"Buy";"2024.03.08 00:00:00";"341.007";"1.0";"2024.03.19 00:00:00";"353.845";"12,84";"10119,67";"IST";"PT";"-9,64";"12,84";"11d 0h 0m";""
