"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"11";"CAT_IBKR_V2_D1";"Buy";"2022.06.16 00:00:00";"201.006";"4.0";"2022.06.23 00:00:00";"185.194";"-63,25";"1031,48";"IST";"SL";"-63,25";"0,00";"7d 0h 0m";""
"12";"CAT_IBKR_V2_D1";"Buy";"2022.06.28 00:00:00";"188.997";"5.0";"2022.07.05 00:00:00";"172.252";"-83,72";"947,76";"IST";"SL";"-83,72";"18,95";"7d 0h 0m";""
"13";"CAT_IBKR_V2_D1";"Buy";"2022.07.08 00:00:00";"180.006";"5.0";"2022.07.29 00:00:00";"194.099";"70,46";"1018,22";"IST";"PT";"-64,65";"70,46";"21d 0h 0m";""
"14";"CAT_IBKR_V2_D1";"Buy";"2022.08.08 00:00:00";"186.746";"5.0";"2022.08.26 00:00:00";"199.409";"63,31";"1081,54";"IST";"PT";"-13,70";"63,31";"18d 0h 0m";""
"15";"CAT_IBKR_V2_D1";"Buy";"2022.09.02 00:00:00";"184.687";"5.0";"2022.09.22 00:00:00";"171.297";"-66,95";"1014,59";"IST";"SL";"-66,95";"39,40";"20d 0h 0m";""
"16";"CAT_IBKR_V2_D1";"Buy";"2022.09.28 00:00:00";"164.236";"6.0";"2022.10.04 00:00:00";"175.456";"67,32";"1081,91";"IST";"PT";"-5,64";"67,32";"6d 0h 0m";""
"17";"CAT_IBKR_V2_D1";"Buy";"2022.10.12 00:00:00";"178.997";"5.0";"2022.10.24 00:00:00";"190.319";"56,61";"1138,52";"IST";"PT";"-32,40";"56,61";"12d 0h 0m";""
"18";"CAT_IBKR_V2_D1";"Buy";"2022.10.25 00:00:00";"190.136";"5.0";"2022.10.27 00:00:00";"209.497";"96,80";"1235,32";"IST";"PT";"-8,85";"96,81";"2d 0h 0m";""
"19";"CAT_IBKR_V2_D1";"Buy";"2022.11.08 00:00:00";"228.297";"4.0";"2022.12.21 00:00:00";"241.493";"52,78";"1288,10";"IST";"PT";"-13,20";"52,78";"43d 0h 0m";""
"20";"CAT_IBKR_V2_D1";"Buy";"2022.12.28 00:00:00";"243.136";"4.0";"2023.01.12 00:00:00";"255.008";"47,49";"1335,59";"IST";"PT";"-28,56";"47,49";"15d 0h 0m";""
