date,open,high,low,close,volume
2008-01-02,1.4678000211715698,1.4759000539779663,1.4652999639511108,1.4732999801635742,110704.0
2008-01-03,1.473099946975708,1.4788000583648682,1.4693000316619873,1.4749000072479248,135924.0
2008-01-04,1.4747999906539917,1.4830000400543213,1.4700000286102295,1.4776999950408936,187828.0
2008-01-07,1.4759000539779663,1.476099967956543,1.465999960899353,1.469599962234497,107872.0
2008-01-08,1.4692000150680542,1.4753999710083008,1.4680999517440796,1.4709999561309814,101773.0
2008-01-09,1.4710999727249146,1.4742000102996826,1.4637999534606934,1.4661999940872192,131038.0
2008-01-10,1.4658000469207764,1.4812999963760376,1.4639999866485596,1.479099988937378,221810.0
2008-01-11,1.4803999662399292,1.4814000129699707,1.4757000207901,1.4780000448226929,130632.0
2008-01-14,1.4779000282287598,1.4908000230789185,1.4773999452590942,1.486799955368042,129807.0
2008-01-15,1.485700011253357,1.4916000366210938,1.479200005531311,1.482800006866455,189779.0
2008-01-16,1.4773999452590942,1.4852999448776245,1.4586999416351318,1.465399980545044,302395.0
2008-01-17,1.4645999670028687,1.4709999561309814,1.4580999612808228,1.4666999578475952,194283.0
2008-01-18,1.4634000062942505,1.4688999652862549,1.4595999717712402,1.4617999792099,156011.0
2008-01-22,1.4599000215530396,1.4638999700546265,1.4355000257492065,1.4594999551773071,413877.0
2008-01-23,1.4651999473571777,1.465399980545044,1.4485000371932983,1.4572999477386475,231322.0
2008-01-24,1.461400032043457,1.4763000011444092,1.4571000337600708,1.4740999937057495,206831.0
2008-01-25,1.4738999605178833,1.4759999513626099,1.4642000198364258,1.4657000303268433,164776.0
2008-01-28,1.4667999744415283,1.4780999422073364,1.4643000364303589,1.4759999513626099,120652.0
2008-01-29,1.4772000312805176,1.4775999784469604,1.4718999862670898,1.4759999513626099,107022.0
2008-01-30,1.4753999710083008,1.4889999628067017,1.4737999439239502,1.4879000186920166,143607.0
2008-01-31,1.4837000370025635,1.4895999431610107,1.4782999753952026,1.4859000444412231,167648.0
2008-02-01,1.4830000400543213,1.4946000576019287,1.4767999649047852,1.4788000583648682,216503.0
2008-02-04,1.4782999753952026,1.483299970626831,1.4776999950408936,1.4809999465942383,103979.0
2008-02-05,1.481600046157837,1.4816999435424805,1.4607000350952148,1.4635000228881836,209752.0
2008-02-06,1.4630999565124512,1.4656000137329102,1.4574999809265137,1.4611999988555908,142182.0
