date,open,high,low,close,volume,minutes
2017-01-26,85.62,85.72,85.12,85.6,24.124706093221903,390
2017-01-27,85.22,85.57,85.04,85.52,26.43764016404748,390
2017-01-30,85.33,85.35,84.17,84.89,43.05877197580412,390
2017-01-31,85.0,84.98,83.13,83.91,55.12528086945531,390
2017-02-01,83.98,83.97,82.55,83.01,40.46087814331986,390
2017-02-02,83.19,83.52,82.55,83.448,37.866166025283746,390
2017-02-03,83.447,83.64,82.89,83.537,33.06248595681973,390
2017-02-06,83.467,83.56,82.93,83.32,37.73572197079193,390
2017-02-07,83.178,83.57,82.445,82.74,39.415650989394635,390
2017-02-08,81.947,81.909,81.17,81.48,45.30933698907029,390
2017-02-09,81.747,82.03,81.66,81.85,25.67055800417438,390
2017-02-10,82.259,82.75,82.115,82.51,29.415911007206887,390
2017-02-13,82.719,83.17,82.347,83.0,29.838643010240048,390
2017-02-14,82.815,83.07,82.059,82.82,33.14894806826487,390
2017-02-15,82.537,83.17,82.46,83.15,36.46757209580392,390
2017-02-16,83.005,83.39,82.17,82.28,39.51207692082971,390
2017-02-17,82.096,82.065,81.44,81.758,28.69552599778399,390
2017-02-21,82.075,82.006,81.3,81.88,29.22347608814016,390
2017-02-22,81.649,81.667,80.87,80.93,26.14708388922736,390
2017-02-23,81.395,82.21,81.03,81.779,34.963083961978555,390
2017-02-24,81.616,81.78,80.76,81.068,23.39536504028365,390
2017-02-27,80.947,81.7,80.8,81.63,32.677265025209635,390
2017-02-28,81.488,81.93,81.05,81.43,36.709058010950685,390
2017-03-01,81.695,83.32,81.669,83.04,47.24244001880288,390
2017-03-02,82.818,84.18,82.817,83.38,47.41269798576832,390
2017-03-03,83.416,83.288,82.26,82.48,34.21007494721562,390
2017-03-06,82.289,82.87,82.286,82.85,29.004384049680084,390
2017-03-07,83.008,83.238,82.14,82.51,29.067617046181113,390
2017-03-08,82.158,82.29,81.01,81.07,38.69031897280365,390
2017-03-09,80.598,81.69,80.31,81.71,43.418150866404176,390
2017-03-10,82.296,82.378,81.14,81.63,46.033956937957555,390
