date,open,high,low,close,volume
2012-01-03,155.80999755859375,158.75,155.64999389648438,157.80999755859375,107850.0
2012-01-04,157.66000366210938,158.4499969482422,156.52999877929688,158.13999938964844,156259.0
2012-01-05,159.5500030517578,159.61000061035156,156.91000366210938,157.83999633789062,83570.0
2012-01-06,159.3300018310547,159.8000030517578,158.32000732421875,159.19000244140625,333876.0
2012-01-09,158.74000549316406,159.47999572753906,158.22999572753906,158.42999267578125,80300.0
2012-01-10,158.64999389648438,161.02000427246094,158.64999389648438,160.67999267578125,400625.0
2012-01-11,161.35000610351562,161.6999969482422,160.39999389648438,161.05999755859375,69367.0
2012-01-12,161.6999969482422,163.13999938964844,161.3699951171875,162.2100067138672,95606.0
2012-01-13,161.6999969482422,161.7100067138672,159.72000122070312,160.4499969482422,109327.0
2012-01-16,161.33999633789062,161.66000366210938,161.1300048828125,161.50999450683594,70077.0
2012-01-17,163.5,163.5500030517578,162.5800018310547,162.92999267578125,157977.0
2012-01-18,162.8000030517578,162.8000030517578,161.27999877929688,162.57000732421875,325660.0
2012-01-19,163.24000549316406,163.88999938964844,162.1999969482422,162.1999969482422,62124.0
2012-01-20,162.72000122070312,162.99000549316406,161.50999450683594,162.8800048828125,102159.0
2012-01-23,163.72999572753906,165.0,163.63999938964844,164.97000122070312,48869.0
2012-01-24,164.64999389648438,164.64999389648438,163.08999633789062,163.77000427246094,220661.0
2012-01-25,163.8000030517578,163.8699951171875,161.9499969482422,162.9199981689453,146686.0
2012-01-26,167.97999572753906,169.88999938964844,167.36000061035156,169.47000122070312,289811.0
2012-01-27,168.64999389648438,170.11000061035156,168.52000427246094,169.83999633789062,80131.0
2012-01-30,169.61000061035156,170.16000366210938,168.50999450683594,169.80999755859375,85880.0
2012-01-31,170.8800048828125,172.33999633789062,169.8800048828125,170.22999572753906,157892.0
2012-02-01,170.52000427246094,171.88999938964844,170.52000427246094,171.72000122070312,218994.0
2012-02-02,171.8000030517578,172.77999877929688,171.0,172.5399932861328,117691.0
2012-02-03,172.6300048828125,173.0,170.4199981689453,170.94000244140625,250328.0
2012-02-06,170.0,170.0,168.27999877929688,168.94000244140625,209214.0
2012-02-07,169.42999267578125,170.80999755859375,167.9199981689453,170.3800048828125,56095.0
2012-02-08,172.0,172.0,170.16000366210938,170.16000366210938,121642.0
2012-02-09,170.2899932861328,172.0,169.77999877929688,171.3300018310547,219160.0
2012-02-10,169.00999450683594,169.22000122070312,167.57000732421875,168.63999938964844,166244.0
2012-02-13,169.61000061035156,170.0500030517578,168.5,169.22999572753906,156646.0
2012-02-14,168.61000061035156,169.42999267578125,168.05999755859375,168.82000732421875,84806.0
2012-02-15,169.49000549316406,170.25999450683594,169.16000366210938,169.66000366210938,101986.0
2012-02-16,168.72999572753906,168.92999267578125,167.39999389648438,168.8000030517578,110647.0
2012-02-17,170.1999969482422,170.1999969482422,168.66000366210938,168.75,97694.0
2012-02-20,169.97000122070312,170.32000732421875,169.74000549316406,170.27000427246094,76100.0
2012-02-21,170.83999633789062,172.4600067138672,170.38999938964844,172.32000732421875,134267.0
2012-02-22,172.52999877929688,172.5399932861328,171.72999572753906,172.30999755859375,500311.0
2012-02-23,174.0399932861328,175.30999755859375,173.9199981689453,175.16000366210938,333961.0
2012-02-24,174.1999969482422,174.89999389648438,173.86000061035156,174.36000061035156,76262.0
2012-02-27,173.66000366210938,174.5399932861328,172.94000244140625,174.1300048828125,103029.0
2012-02-28,174.1199951171875,175.3000030517578,174.0800018310547,175.1199951171875,189253.0
2012-02-29,175.39999389648438,175.41000366210938,167.64999389648438,168.52000427246094,195572.0
2012-03-01,168.6999969482422,169.17999267578125,167.1199951171875,168.88999938964844,153960.0
2012-03-02,168.17999267578125,168.47999572753906,167.5,168.30999755859375,249142.0
2012-03-05,167.6300048828125,167.75999450683594,166.3000030517578,167.4499969482422,163890.0
2012-03-06,166.58999633789062,166.66000366210938,163.13999938964844,163.86000061035156,363894.0
2012-03-07,164.10000610351562,165.42999267578125,164.07000732421875,165.32000732421875,164364.0
2012-03-08,166.08999633789062,167.2100067138672,165.82000732421875,166.38999938964844,136709.0
2012-03-09,167.00999450683594,168.02000427246094,164.75999450683594,167.47999572753906,57213.0
2012-03-12,167.39999389648438,167.6300048828125,166.19000244140625,166.77999877929688,41511.0
2012-03-13,166.8800048828125,166.88999938964844,165.2100067138672,166.52000427246094,107693.0
2012-03-14,163.9199981689453,163.9199981689453,160.8699951171875,161.32000732421875,165514.0
2012-03-15,161.58999633789062,162.0,160.99000549316406,161.75,103281.0
2012-03-16,162.64999389648438,162.9499969482422,161.0500030517578,162.38999938964844,148984.0
