date,open,high,low,close
2024-09-03,162.07189876195469,162.1364064247253,156.65345194359233,157.4027099609375
2024-09-04,156.8718233129888,159.17912375587483,156.24166200978343,156.6088409423828
2024-09-05,156.57904124669645,159.78941834087976,156.32102571288522,157.39280700683594
2024-09-06,157.48212702733662,158.0080916993479,150.77853813919512,150.97206115722656
2024-09-09,152.66133000352892,153.66495624716177,147.26555960142852,148.59710693359375
2024-09-10,150.49507085324723,151.33971747821872,148.60009721936464,149.06414794921875
2024-09-11,150.13731419670663,151.51854909084332,147.76238469779315,151.1906280517578
2024-09-12,153.8338874470031,154.6288463085895,152.53214970291273,154.5592803955078
2024-09-13,155.37607972822212,158.2707066144771,155.1256697723983,157.3714141845703
2024-09-16,157.33169139611283,158.23595725653453,156.61622996397466,157.98753356933594
2024-09-17,159.08058949166997,160.5711316223217,158.4048843371456,159.26939392089844
2024-09-18,159.8357920440244,160.61087266542054,158.65329297321875,159.79603576660156
2024-09-19,163.7807786862612,163.94970497705023,161.49726398871067,162.2107391357422
2024-09-20,163.48265967891217,163.7112052191287,162.15109722974654,163.60189819335938
2024-09-23,164.2974852324615,165.55948180208398,161.92255540227154,162.04180908203125
2024-09-24,163.21435444664,163.51246588910374,161.00835100001706,162.6082000732422
2024-09-25,161.9424326507354,163.18156404518257,161.7486548988047,161.96231079101562
2024-09-26,163.98944299378118,164.45648073818896,162.4690912428634,162.79701232910156
2024-09-27,162.87649912364836,165.9172024275058,162.79700172950194,164.24778747558594
2024-09-30,163.74099558866268,166.3047294857802,163.60187895064433,166.13580322265625
2024-10-01,167.79529084648613,169.3653303219186,164.85394780689333,167.35806274414062
2024-10-02,166.70217962271664,167.8151277449684,165.20170642439626,166.25502014160156
2024-10-03,164.77446563028727,166.85128395457937,164.32729087654542,166.15570068359375
2024-10-04,168.27225778126535,168.48094034094336,165.90727469285602,167.49717712402344
2024-10-07,168.07350393702208,168.82870637404315,163.09509945252566,163.35345458984375
2024-10-08,164.38691058188274,165.05269938868935,163.27397734527142,164.65521240234375
2024-10-09,163.81552514678452,165.21166489884578,160.10407507086734,162.03184509277344
2024-10-10,161.08783193487992,163.2749577486307,160.6207942606787,162.1510772705078
2024-10-11,162.30013652942284,164.22790642826445,161.4753682138063,163.48263549804688
2024-10-14,163.87017904399764,166.5630829011903,163.7409938948254,165.3011016845703
2024-10-15,166.08614846080903,168.02385029057183,165.00302476655435,165.84765625
2024-10-16,164.98312975972647,166.22524813421248,164.1742668836848,165.68865966796875
2024-10-17,166.32463151811177,166.8711514986138,163.33360062715198,163.47271728515625
2024-10-18,163.8304501788312,165.3209923183732,163.71121165969305,164.0093231201172
2024-10-21,163.54228408519845,165.17194287179123,163.26900893088214,164.7545928955078
2024-10-22,163.66152993879703,166.41406877041842,163.6317203079106,165.76817321777344
2024-10-23,165.38058782310145,166.54322386801542,162.60122689067086,163.44288635253906
2024-10-24,163.5522034832088,164.00930970681912,161.7436870530128,163.49258422851562
2024-10-25,164.3223340804208,166.34449132743282,164.188175588151,165.9370880126953
2024-10-28,169.51439302152318,169.5302985673252,164.74465492850783,167.27857971191406
2024-10-29,168.31697400737147,170.77637449444777,167.5965544358344,170.0609130859375
2024-10-30,181.25987440710688,182.63116293795383,174.63688999002042,175.02940368652344
2024-10-31,173.61833422412218,177.29500147629722,171.47195009458156,171.60113525390625
2024-11-01,170.45838437063261,172.72402226550076,169.23614411934983,171.56138610839844
2024-11-04,170.1602873152299,170.8359924388659,168.41634825006253,169.6038055419922
2024-11-05,169.75287884850286,171.01188841995238,169.29577258419562,170.3292236328125
2024-11-06,174.24436063400395,177.51360931765646,173.93630256002064,177.20556640625
2024-11-07,177.98065076502607,181.42877244059756,177.76203672730395,181.1306610107422
2024-11-08,180.85242759053065,181.20022678554332,178.43775685183698,178.72592163085938
2024-11-11,178.93460280818536,180.93689692036529,178.8551054167185,180.82261657714844
2024-11-12,180.2363382530564,182.86464965293638,179.8487979508242,182.1641082763672
2024-11-13,181.00148088274037,181.46356043501584,178.98428188436048,179.35195922851562
2024-11-14,178.61662702479006,179.30725213749923,174.9200814305197,176.2317657470703
2024-11-15,174.53252949799358,174.77102167495158,171.65577921140778,172.79356384277344
2024-11-18,173.85185850124924,175.7945334642115,173.32022819637518,175.6852264404297
2024-11-19,174.1300733737963,179.03395378572512,174.01182044159475,178.4476776123047
2024-11-20,177.70241021192052,177.9806434917281,174.2244790517492,176.2118682861328
2024-11-21,174.34869047251175,174.4729022993712,164.26765435907714,168.17288208007812
2024-11-22,166.10602114746408,167.20404962117405,164.66516676560292,165.51974487304688
2024-11-25,166.9307715023666,169.38519852719662,166.34448012902007,168.36167907714844
2024-11-26,168.42130956453894,170.41365700212847,168.36167514972576,169.54417419433594
2024-11-27,169.60380336720524,170.06090959871608,168.60017718317584,169.74293518066406
2024-11-29,168.98769673500956,169.79258691349247,167.68595926980132,169.4149932861328
2024-12-02,169.24608122185896,172.50539848311146,169.1963934565042,171.88929748535156
2024-12-03,172.02842226247745,173.2208680370488,171.42226788668225,171.92906188964844
2024-12-04,171.69056362476053,175.31754310005746,171.66075399770924,174.9796905517578
2024-12-05,176.20195301833948,176.58949334821534,172.91281079609615,173.21092224121094
2024-12-06,172.78365328206635,175.72399577360784,172.45573218499814,175.377197265625
2024-12-09,174.8051452045689,177.1181033334023,174.49177384380053,176.1829833984375
2024-12-10,183.5794829006666,187.0563809613101,181.7241343909125,185.56414794921875
2024-12-11,185.7332735963159,195.87051270897385,185.29554946579324,195.6914520263672
2024-12-12,195.283568643625,195.68647035370063,192.2792018454764,192.6273956298828
2024-12-13,191.71215315964693,193.33370268775937,190.26964912439732,190.3890380859375
2024-12-16,193.358593781121,199.60109609130157,193.10490930009604,197.13394165039062
2024-12-17,197.50202220467017,201.8295042342353,195.67155325883303,196.0993194580078
2024-12-18,195.81082440955737,197.66119401544614,188.29991495415683,189.1654052734375
2024-12-19,192.2792077384488,193.59238015211147,188.53868223430246,188.71774291992188
2024-12-20,186.0416581188474,193.12976492079878,185.40497264137207,191.9608612060547
2024-12-23,193.02530099784235,195.47256966448316,190.6377343989845,194.97515869140625
2024-12-24,195.1542219604498,196.64645489959972,194.18725489444245,196.54698181152344
2024-12-26,195.72130070130024,197.13394622767794,194.8557951729105,196.07943725585938
2024-12-27,195.45268852597223,195.7809816226149,190.9779778716318,193.03526306152344
2024-12-30,189.87671356058155,192.7766131193924,189.37432357435688,191.6922607421875
2024-12-31,191.44854157562307,192.24936605997945,188.59837086504533,189.45391845703125
2025-01-02,190.49349766533388,192.199613809401,187.73287259466875,189.64292907714844
2025-01-03,191.7271031302285,193.492906357984,190.35922268682373,192.1300048828125
2025-01-06,194.1395345935375,198.52670387508945,194.0500042440645,196.93499755859375
2025-01-07,197.24337199474405,201.09332846858513,194.9254347979525,195.6914520263672
2025-01-08,192.94573445227036,196.6166302624817,192.74677307730784,194.37828063964844
2025-01-10,194.40813428616252,196.59673988513126,190.60792173173346,192.16978454589844
2025-01-13,190.3592067990712,191.49330333757615,187.6831330352865,191.29432678222656
2025-01-14,191.50324947109388,192.26926671931673,188.65805772890357,190.06076049804688
2025-01-15,193.34368069639362,196.77581389637504,192.32895790673442,195.96005249023438
2025-01-16,194.81100192689854,195.9600200447369,193.2939045515055,193.40333557128906
2025-01-17,197.02449533847414,197.7805545753439,194.29867766012646,196.52708435058594
2025-01-21,199.47177713449656,202.78453660434414,198.40732536322193,198.59634399414062
2025-01-22,199.51154383878017,201.0734063968559,198.16852814291568,198.99423217773438
2025-01-23,198.94452311750496,200.89438114994874,195.80089675793687,198.54660034179688
2025-01-24,198.81521049963683,201.5211279313994,198.74954276629634,200.85458374023438
2025-01-27,193.18451659852335,197.64131560005396,191.7022261236937,192.76669311523438
2025-01-28,193.64210831596336,196.20875105775642,191.6126779883814,196.04959106445312
2025-01-29,196.34801519263476,197.43238271981605,194.17931049783053,196.15899658203125
2025-01-30,198.72564570444456,202.18564878993757,198.43914254242208,201.58079528808594
2025-01-31,202.66016640588438,206.00774800498388,202.52587089641744,204.53541564941406
2025-02-03,201.16791114851895,204.15735587919752,200.61579226855673,201.59071350097656
2025-02-04,203.44109054167416,207.61933973200223,203.20232780688056,206.6344757080078
2025-02-05,192.1001566547657,193.5426456868838,188.92667167623742,192.2991180419922
2025-02-06,190.00105713400717,192.82634793947418,189.5036461395329,192.3090362548828
2025-02-07,191.74199930755367,192.01556928787184,184.14155977279586,186.17098999023438
2025-02-10,188.08104189834265,189.0062342371054,186.63855305725247,187.22549438476562
2025-02-11,185.8675803518812,187.82240199450504,185.11648486292324,186.1013641357422
2025-02-12,184.27088725533045,185.86260863474703,182.67918105569393,184.4698486328125
